,EDU_NAME,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,lat,lon
0,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский институт открытого образования» (средняя общеобразовательная школа № 179),109,101,80,55.800089,37.539577
1,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 426»,87,19,3,55.624584,37.720023
2,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 514»,58,24,8,55.6772063,37.6999704
3,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 932»,56,24,6,55.5993074,37.5858429
4,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1247 имени Юргиса Балтрушайтиса,60,20,6,55.770874,37.6874083
5,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 «Мультипрофильный образовательный комплекс «Пресненский»,117,70,32,55.772701,37.577876
6,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1482,71,23,10,55.867013,37.635354
7,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 734 «Школа самоопределения»,35,24,13,55.801528,37.824209
8,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 417»,114,25,5,55.757429,37.701095
9,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 544»,141,52,23,55.606698,37.714874
10,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 31»,8,0,0,55.726992,37.8094298
11,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1471»,18,14,9,55.770899,37.413546
12,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 9»,43,21,6,55.722263,37.579479
13,Государственное автономное общеобразовательное учреждение города Москвы «Гимназия № 1518»,82,80,70,55.803641,37.634567
14,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1636 «НИКА»,181,60,26,55.6110367,37.7281961
15,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»,67,35,13,55.725556,37.455473
16,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 686 «Класс-центр»,43,11,6,55.822016,37.524951
17,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1497»,62,32,7,55.75218,37.504418
18,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1259,69,63,48,55.739592,37.639386
19,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 141 имени Героя Советского Союза Рихарда Зорге»,83,60,27,55.778747,37.514313
20,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1577»,121,49,24,55.8513764,37.6881264
21,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»,117,11,0,55.790925,37.778491
22,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 51»,61,19,4,55.644428,37.482174
23,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1375»,121,52,16,55.6815232,37.6567401
