,AdmArea,District,EDU_NAME,ID,LINK,OGRN,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,YEAR,global_id,signature_date,system_object_id
0,Северный административный округ,район Аэропорт,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский институт открытого образования» (средняя общеобразовательная школа № 179),5093,"{'global_id': 19646366, 'value': 'Государственное автономное образовательное учреждение высшего профессионального образования города Москвы «Московский институт открытого образования» (средняя общеобразовательная школа № 179)'}",1027700566761,109,101,80,2015-2016,4697910,31.10.2016 09:29:23,5093
1,Южный административный округ,район Орехово-Борисово Северное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 426»,5135,"{'global_id': 30538830, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 426»'}",1027739314734,87,19,3,2015-2016,4697911,31.10.2016 09:15:29,5135
2,Южный административный округ,район Нагатинский Затон,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 514»,5120,{'global_id': 59480226},1137746779576,58,24,8,2015-2016,4697912,31.10.2016 09:29:42,5120
3,Южный административный округ,район Чертаново Южное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 932»,5117,{'global_id': 59480200},1027739423304,56,24,6,2015-2016,4697913,31.10.2016 09:32:49,5117
4,Центральный административный округ,Басманный район,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1247 имени Юргиса Балтрушайтиса,5126,"{'global_id': 4478638, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1247 имени Юргиса Балтрушайтиса'}",1027739525098,60,20,6,2015-2016,4697915,31.10.2016 09:10:07,5126
5,Центральный административный округ,Пресненский район,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 «Мультипрофильный образовательный комплекс «Пресненский»,350,"{'global_id': 4479163, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 «Мультипрофильный образовательный комплекс «Пресненский»'}",1147746441952,117,70,32,2015-2016,4697916,31.10.2016 09:30:50,350
6,Северо-Восточный административный округ,район Южное Медведково,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1482,5025,"{'global_id': 4479432, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1482'}",1147746919319,71,23,10,2015-2016,4697917,31.10.2016 09:22:45,5025
7,Восточный административный округ,район Восточное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 734 «Школа самоопределения»,5027,"{'global_id': 13793782, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 734 «Школа самоопределения»'}",1027739595025,35,24,13,2015-2016,4697918,31.10.2016 09:24:05,5027
8,Юго-Восточный административный округ,район Лефортово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 417»,5051,"{'global_id': 19646349, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 417»'}",1027739541642,114,25,5,2015-2016,4697919,31.10.2016 09:08:38,5051
9,Южный административный округ,район Орехово-Борисово Южное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 544»,5035,"{'global_id': 4479122, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 544»'}",5147746311334,141,52,23,2015-2016,4697920,31.10.2016 09:25:28,5035
10,Восточный административный округ,район Вешняки,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 31»,4961,"{'global_id': 30538816, 'value': 'Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 31»'}",1037739406968,8,0,0,2015-2016,4697922,31.10.2016 09:28:45,4961
11,Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1471»,4969,{'global_id': 62782438},1027739276685,18,14,9,2015-2016,4697923,31.10.2016 09:08:11,4969
12,Юго-Западный административный округ,Обручевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 9»,4988,"{'global_id': 20974884, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 9»'}",1027739903784,43,21,6,2015-2016,4697924,31.10.2016 09:29:47,4988
13,Северо-Восточный административный округ,Останкинский район,Государственное автономное общеобразовательное учреждение города Москвы «Гимназия № 1518»,4997,{'global_id': 64004148},1097746849419,82,80,70,2015-2016,4697925,31.10.2016 09:29:47,4997
14,Южный административный округ,район Орехово-Борисово Южное,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1636 «НИКА»,1672,"{'global_id': 13793732, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1636 «НИКА»'}",1037724068425,181,60,26,2015-2016,4697926,31.10.2016 09:25:28,1672
15,Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»,1866,"{'global_id': 30538865, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»'}",1137746413936,67,35,13,2015-2016,4697928,31.10.2016 09:28:51,1866
